PUBCHEM_CID,SMILES,Label
778398,COc1cccc(NS(=O)(=O)c2ccc(OC)c(OC)c2)c1,0
3233260,Cn1cc(-c2nc3cnc(N4CCNCC4)nc3n(Cc3ccc(F)cc3)c2=O)c2ccccc21,0
2565430,CC(C)CCNC(=O)NC(=O)COc1ccccc1C#N,0
3236995,COc1ccc(C2C=C(C)Nc3nc(SC)nn32)cc1,0
1798129,CCCC(=O)N1CC2(C)CN(C(=O)CCC)CC(CCC)(C1)C2=O,0
135498002,COc1cccc(/C=N/Nc2ncnc3c2ncn3Cc2ccccc2)c1O,1
1388836,COc1ccccc1NC1=C(N2CCCCC2)C(=O)c2ccccc2C1=O,1
2840206,CN(C)c1cccc2c1C(=O)c1ccccc1C2=O,1
2902133,CC1(C)CC(C(CCN(Cc2ccccc2)C(=O)c2ccco2)c2ccc(F)cc2)CCO1,1
1573761,CCOc1ccc2c(c1)-c1c(ssc1=S)C(C)(C)N2C(=O)CSC1=NCCS1,1
3240323,COc1ccc(OC)c(-c2cc(C(=O)Nc3cc(C)n(Cc4ccc(Cl)cc4)n3)no2)c1,0
9585235,CC1=C(/C=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])C(C)(C)CCC1,1
2189210,COc1cc(/C=C2/C(=O)NN(c3cccc(C)c3)C2=O)ccc1OC(=O)c1ccco1,1
1380424,CCN(CC)c1ccc(NC2=C(Cl)C(=O)c3ccccc3C2=O)cc1,1
135403131,Cc1[nH]c2ccccc2c1/C=N/Nc1ccccc1[N+](=O)[O-],1
