PUBCHEM_CID,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedRings,NumHeteroatoms,RingCount,HeavyAtomCount,NumAliphaticRings,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumValenceElectrons,NumSpiroAtoms,NumHeterocycles,NumAmideBonds,Label
778398,323.37000000000006,2.5132000000000003,1.0,5.0,73.86,6.0,2.0,2.0,0.0,0.0,7.0,2.0,22.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0
3233260,469.52400000000017,2.9422000000000006,1.0,8.0,80.87,4.0,5.0,2.0,3.0,1.0,9.0,6.0,35.0,1.0,0.0,1.0,176.0,0.0,4.0,0.0,0
2565430,289.33500000000004,1.80898,2.0,4.0,91.22,6.0,1.0,1.0,0.0,0.0,6.0,1.0,21.0,0.0,0.0,0.0,112.0,0.0,0.0,3.0,0
3236995,288.376,2.9273000000000007,1.0,6.0,51.97,3.0,2.0,1.0,1.0,0.0,6.0,3.0,20.0,1.0,0.0,1.0,104.0,0.0,2.0,0.0,0
1798129,336.4760000000001,2.632900000000001,0.0,3.0,57.690000000000005,6.0,0.0,0.0,0.0,2.0,5.0,2.0,24.0,2.0,0.0,2.0,136.0,0.0,2.0,2.0,0
135498002,374.4040000000001,3.034800000000002,2.0,8.0,97.45,6.0,4.0,2.0,2.0,0.0,8.0,4.0,28.0,0.0,0.0,0.0,140.0,0.0,2.0,0.0,1
1388836,362.429,3.8838000000000026,1.0,5.0,58.64,4.0,2.0,2.0,0.0,1.0,5.0,4.0,27.0,2.0,1.0,1.0,138.0,0.0,1.0,0.0,1
2840206,251.285,2.5280000000000005,0.0,3.0,37.38,1.0,2.0,2.0,0.0,0.0,3.0,3.0,19.0,1.0,1.0,0.0,94.0,0.0,0.0,0.0,1
2902133,449.5660000000002,6.440200000000007,0.0,3.0,42.68000000000001,8.0,3.0,2.0,1.0,1.0,5.0,4.0,33.0,1.0,0.0,1.0,174.0,0.0,2.0,1.0,1
1573761,468.7160000000003,6.022490000000005,0.0,8.0,41.9,4.0,2.0,1.0,1.0,0.0,9.0,4.0,28.0,2.0,0.0,2.0,148.0,0.0,3.0,1.0,1
