PUBCHEM_CID,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedRings,NumHeteroatoms,RingCount,HeavyAtomCount,NumAliphaticRings,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumValenceElectrons,NumSpiroAtoms,NumHeterocycles,NumAmideBonds,Label
778398,323.37000000000006,2.5132000000000003,1.0,5.0,73.86,6.0,2.0,2.0,0.0,0.0,7.0,2.0,22.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0
3233260,469.52400000000017,2.9422000000000006,1.0,8.0,80.87,4.0,5.0,2.0,3.0,1.0,9.0,6.0,35.0,1.0,0.0,1.0,176.0,0.0,4.0,0.0,0
2565430,289.33500000000004,1.8089799999999996,2.0,4.0,91.22,6.0,1.0,1.0,0.0,0.0,6.0,1.0,21.0,0.0,0.0,0.0,112.0,0.0,0.0,3.0,0
3236995,288.376,2.9273000000000007,1.0,6.0,51.97,3.0,2.0,1.0,1.0,0.0,6.0,3.0,20.0,1.0,0.0,1.0,104.0,0.0,2.0,0.0,0
1798129,336.4760000000001,2.632900000000001,0.0,3.0,57.690000000000005,6.0,0.0,0.0,0.0,2.0,5.0,2.0,24.0,2.0,0.0,2.0,136.0,0.0,2.0,2.0,0
5459711,371.4810000000003,1.2231000000000003,1.0,4.0,61.88000000000001,6.0,1.0,1.0,0.0,1.0,6.0,3.0,27.0,2.0,0.0,2.0,146.0,0.0,2.0,2.0,0
648222,436.47200000000026,2.7937000000000003,1.0,9.0,111.30000000000001,6.0,4.0,1.0,3.0,0.0,10.0,5.0,32.0,1.0,0.0,1.0,166.0,0.0,4.0,0.0,0
3240323,452.89800000000014,4.817720000000004,1.0,7.0,91.41,7.0,4.0,2.0,2.0,0.0,9.0,4.0,32.0,0.0,0.0,0.0,164.0,0.0,2.0,1.0,0
5475291,205.32500000000002,2.7529000000000012,0.0,1.0,12.36,3.0,1.0,1.0,0.0,0.0,2.0,1.0,15.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0
746147,301.415,3.340200000000002,1.0,4.0,45.230000000000004,3.0,2.0,1.0,1.0,0.0,5.0,3.0,21.0,1.0,1.0,0.0,110.0,0.0,1.0,1.0,1
9585235,332.3600000000002,4.427300000000003,1.0,6.0,110.67000000000002,5.0,1.0,1.0,0.0,0.0,8.0,2.0,24.0,1.0,1.0,0.0,128.0,0.0,0.0,0.0,1
2192587,327.45300000000003,3.1385200000000024,0.0,3.0,26.790000000000006,2.0,1.0,1.0,0.0,1.0,5.0,3.0,23.0,2.0,0.0,2.0,120.0,0.0,2.0,1.0,1
790561,336.3430000000001,3.0911000000000017,0.0,5.0,69.67,4.0,2.0,2.0,0.0,0.0,5.0,3.0,25.0,1.0,1.0,0.0,126.0,0.0,0.0,0.0,1
1328059,395.4620000000001,4.559500000000003,1.0,5.0,54.339999999999996,3.0,4.0,3.0,1.0,0.0,5.0,5.0,30.0,1.0,1.0,0.0,148.0,0.0,1.0,0.0,1
2983841,410.45500000000027,3.8072000000000026,1.0,7.0,97.60000000000001,5.0,3.0,2.0,1.0,1.0,9.0,4.0,29.0,1.0,0.0,1.0,148.0,0.0,2.0,1.0,1
2189210,418.4050000000002,3.2772200000000025,1.0,6.0,98.08,5.0,3.0,2.0,1.0,1.0,8.0,4.0,31.0,1.0,0.0,1.0,156.0,0.0,2.0,2.0,1
2187558,383.4540000000001,4.5294000000000025,1.0,6.0,79.2,5.0,3.0,1.0,2.0,1.0,8.0,4.0,26.0,1.0,0.0,1.0,130.0,0.0,3.0,2.0,1
890213,340.33500000000004,3.4234000000000018,1.0,5.0,98.53999999999999,6.0,2.0,2.0,0.0,0.0,7.0,2.0,25.0,0.0,0.0,0.0,128.0,0.0,0.0,1.0,1
1290134,465.3770000000003,4.128940000000004,0.0,4.0,59.08,6.0,2.0,2.0,0.0,1.0,8.0,3.0,31.0,1.0,0.0,1.0,166.0,0.0,1.0,2.0,1
1281095,427.5290000000002,4.062700000000003,0.0,5.0,55.2,4.0,4.0,3.0,1.0,0.0,6.0,5.0,31.0,1.0,0.0,1.0,154.0,0.0,2.0,1.0,1
135497928,400.44200000000006,3.7979200000000026,2.0,8.0,97.45,6.0,4.0,2.0,2.0,0.0,8.0,4.0,30.0,0.0,0.0,0.0,150.0,0.0,2.0,0.0,1
135477972,410.3900000000002,3.3532600000000023,2.0,8.0,148.46,6.0,3.0,2.0,1.0,0.0,11.0,3.0,30.0,0.0,0.0,0.0,154.0,0.0,1.0,0.0,1
628864,315.33200000000005,4.447720000000003,0.0,4.0,68.39,2.0,3.0,2.0,1.0,0.0,5.0,4.0,24.0,1.0,1.0,0.0,116.0,0.0,1.0,0.0,1
1380424,354.83700000000005,4.474300000000003,1.0,4.0,49.410000000000004,5.0,2.0,2.0,0.0,0.0,5.0,3.0,25.0,1.0,1.0,0.0,128.0,0.0,0.0,0.0,1
3774420,346.2990000000001,3.374220000000001,1.0,7.0,141.45000000000002,7.0,2.0,2.0,0.0,0.0,10.0,2.0,25.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,1
5921555,418.25000000000006,4.9526600000000025,0.0,5.0,81.03,4.0,2.0,1.0,1.0,0.0,6.0,3.0,27.0,1.0,0.0,1.0,130.0,0.0,2.0,0.0,1
5806576,373.7990000000001,4.843560000000003,0.0,5.0,81.03,4.0,2.0,1.0,1.0,0.0,6.0,3.0,27.0,1.0,0.0,1.0,130.0,0.0,2.0,0.0,1
6374709,339.35400000000004,4.190160000000003,0.0,5.0,81.03,4.0,2.0,1.0,1.0,0.0,5.0,3.0,26.0,1.0,0.0,1.0,124.0,0.0,2.0,0.0,1
1308940,404.172,3.534100000000002,1.0,6.0,106.74,3.0,2.0,2.0,0.0,0.0,8.0,3.0,25.0,1.0,1.0,0.0,126.0,0.0,0.0,0.0,1
2930652,380.3520000000001,3.698800000000002,3.0,7.0,109.36000000000001,3.0,2.0,2.0,0.0,0.0,7.0,4.0,28.0,2.0,1.0,1.0,142.0,0.0,1.0,0.0,1
3135557,335.3880000000001,5.579100000000003,1.0,6.0,67.07000000000001,3.0,4.0,3.0,1.0,0.0,6.0,4.0,24.0,0.0,0.0,0.0,118.0,0.0,1.0,0.0,1
135403131,294.314,3.8305200000000017,2.0,4.0,83.32,4.0,3.0,2.0,1.0,0.0,6.0,3.0,22.0,0.0,0.0,0.0,110.0,0.0,1.0,0.0,1
2931982,410.37800000000016,3.7074000000000025,3.0,8.0,118.59000000000002,4.0,2.0,2.0,0.0,0.0,8.0,4.0,30.0,2.0,1.0,1.0,154.0,0.0,1.0,0.0,1
3422200,430.91300000000035,3.3950000000000022,1.0,5.0,83.55000000000001,4.0,2.0,2.0,0.0,1.0,8.0,4.0,29.0,2.0,1.0,1.0,150.0,0.0,1.0,0.0,1
