PUBCHEM_CID,SMILES,Label
5459711,CC(=O)N1[C@H](Cc2ccccc2)C=C[C@]1(C)C(=O)NCCN1CCOCC1,0
648222,CC(C)(C)n1nnnc1CN(Cc1ccco1)Cc1cc2cc3c(cc2[nH]c1=O)OCO3,0
5475291,CC(C)/C(=N/[N+](C)(C)C)c1ccccc1,0
746147,CN(C)c1ccc(C(=O)Nc2nc3c(s2)CCCC3)cc1,1
2192587,CCN1C(=O)/C(=C2/C=Cc3cc(C)ccc3N2CC)N(C)C1=S,1
790561,CCOC(=O)C1=C(c2ccc(OC)cc2)C(=O)c2ccccc2C1=O,1
1328059,CN(C)c1ccc(Nc2c3c4c(cccc4n(C)c2=O)C(=O)c2ccccc2-3)cc1,1
2983841,O=C(Nc1nc(-c2ccccc2)cs1)c1ccc(N2CCOCC2)c([N+](=O)[O-])c1,1
2187558,C=CCN1C(=O)S/C(=C/c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O,1
890213,CCOC(=O)c1cccc(NC(=O)/C=C/c2ccc([N+](=O)[O-])cc2)c1,1
1290134,Cc1cc(Cl)ccc1OCC(=O)N1CCCN(C(=O)COc2ccc(Cl)cc2C)CC1,1
1281095,O=C(CSc1nc2ccccc2c(=O)n1-c1ccccc1)N1CCc2ccccc2C1,1
135497928,COc1cccc(/C=N/Nc2cc(-n3nc(C)cc3-c3ccccc3)ncn2)c1O,1
135477972,Cc1ccc(-n2[nH]c(C)c(/C=N/Nc3ccc([N+](=O)[O-])cc3[N+](=O)[O-])c2=O)cc1C,1
628864,Cc1ccccc1N=C1c2cc([N+](=O)[O-])ccc2-c2ncccc21,1
3774420,Cc1ccc(NCCc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,1
5921555,N#CC(C#N)=C1C=CC=CN1/C(=C\c1ccco1)C(=O)c1ccc(Br)cc1,1
5806576,N#CC(C#N)=C1C=CC=CN1/C(=C\c1ccco1)C(=O)c1ccc(Cl)cc1,1
6374709,N#CC(C#N)=C1C=CC=CN1/C(=C\c1ccco1)C(=O)c1ccccc1,1
1308940,COc1cc(/C=C2/C(=O)c3cccc([N+](=O)[O-])c3C2=O)c(Br)cc1O,1
2930652,COc1ccc(OC)c(-c2c3cc(O)c(=O)cc-3oc3cc(O)c(O)cc23)c1,1
3135557,COc1ccc2nc(N=Nc3ccc(O)c4ccccc34)sc2c1,1
2931982,COc1cc(OC)c(-c2c3cc(O)c(=O)cc-3oc3cc(O)c(O)cc23)cc1OC,1
3422200,O=C1C(NS(=O)(=O)c2ccc(Cl)cc2)=C(N2CCCCC2)C(=O)c2ccccc21,1
5856349,COc1ccc(/C=C2\SC(=O)N(CC(=O)NNC(=O)c3ccccc3O)C2=O)cc1OC,1
